no,kelurahan_id,nama,jumlah
1,1,Kepanjenkidul,111
2,2,Ngadirejo,144
3,3,Sentul,192
4,4,Kauman,87
5,5,Tanggung,189
6,6,Bendo,150
7,7,Kepanjenlor,109
8,8,Pakunden,406
9,9,Blitar,132
10,10,Tlumpu,99
11,11,Turi,79
12,12,Karangsari,143
13,13,Sukorejo,296
14,14,Tanjungsari,278
15,15,Gedog,277
16,16,Plosokerep,74
17,17,Klampok,162
18,18,Sananwetan,215
19,19,Rembang,87
20,20,Karangtengah,101
21,21,Bendogerit,220
