no,kelurahan_id,lokasi kegiatan,alamat,deskripsi,coordinate,foto
27,3,Kantor Kelurahan Sentul,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
28,21,Kantor Kelurahan Bendogerit,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
29,21,Makam Bendogerit,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
30,7,Polres Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
31,7,Mall Pelayanan Publik (Graha Patria),Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
32,4,Kios PKL Jl. Musi Barat,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
33,1,Pasar Templek,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
34,8,Jalan Bengawan Solo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
35,13,Pasar Legi,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
36,18,Pasar Kuliner,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
37,15,SMPN 6 Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
38,5,SMPN 3 Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
39,20,TKN Karangtengah,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
40,12,SDN Karangsari 1,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
41,14,Taman Kehati Tanjungsari,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
42,18,Lapangan Sananwetan,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
43,16,Lapangan Plosokerep,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
44,2,Broncap Sumber Judelan,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
45,1,TPS Kepanjenkidul,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
46,6,TPS Bendo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
47,15,TPS Gedog,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
48,9,IPLT Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
49,4,TPS Kauman,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
50,18,Perpustakaan Kota Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
51,16,Kantor DISHUB Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
52,7,Pasar Ikan Blitar,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
53,8,Makam Pakunden,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
54,8,Kantor Kecamatan Sukorejo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
55,10,Lapangan Tlumpu,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
56,8,Lapangan Pakunden,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
57,8,Fish Garden ( Wisata Ekologi ),Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
58,1,Gedung Kantor Bangkesbangpol,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
59,3,TPU Sentul,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
60,7,Kantor Kelurahan Kepanjenlor,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
61,19,Kantor Kelurahan Rembang,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
62,20,RSUD Mardiwaluyo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
63,16,ETLE Plosokerep,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
64,8,ETLE Pakunden,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
65,21,ETLE Gedog,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
66,16,Gedung Kesenian,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
67,1,Gedung BKPSDM,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
68,13,Puskesmas Sukorejo,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
69,16,Gedung Pencak Silat,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
70,10,Kajian Pemanfaatan SMP 10,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
71,6,Gedung BPBD,Kota Blitar,Kota Blitar,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{},""geometry"":{""type"":""Point"",""coordinates"":[112.165238,-8.098243]}}]}",default-foto.png
